"mzn","version","dzn","solver","timeout","n","mode","learning","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"toy.mzn","Gini","toy_4_6.dzn","Chuffed",1200000,4,"LB-TL","True","852","True","120","229","132","5307","4","12","229","228","132","False"
"toy.mzn","Spread","toy_16_17.dzn","Chuffed",1200000,16,"Simp","True","662235","False","1199929","79579023","603","352878815","4","337","79579023","8118409","602","False"
"toy.mzn","Gini","toy_36_37.dzn","Chuffed",1200000,36,"LB-TL","True","4159","False","1199947","34702772","334","200016478","4","483","34702772","7080686","333","False"
"toy.mzn","Gini","toy_31_31.dzn","Chuffed",1200000,31,"LB","True","4657","False","1199944","33311759","238","271005021","4","338","33311759","35383699","237","False"
"toy.mzn","Spread","toy_38_41.dzn","Chuffed",1200000,38,"LB","True","50473104","False","1199947","57530916","2386","322311552","4","463","57530916","3934033","2385","False"
"toy.mzn","Gini","toy_2_5.dzn","Chuffed",1200000,2,"LB-TL","True","714","True","80","1","2","17","4","2","1","0","2","False"
"toy.mzn","Gini","toy_9_13.dzn","Chuffed",1200000,9,"Simp","True","2236","False","1199932","146027072","67","615416989","4","45","146027072","2711337","66","False"
"toy.mzn","Gini","toy_16_20.dzn","Chuffed",1200000,16,"Simp","True","2083","False","1199934","91685635","153","402979785","4","209","91685635","7306136","152","False"
"toy.mzn","Spread","toy_39_40.dzn","Chuffed",1200000,39,"Simp","True","37351984","False","1199947","77712227","2","402399980","4","613","77712227","6918339","1","False"
"toy.mzn","Gini","toy_21_24.dzn","Chuffed",1200000,21,"Simp","True","1452","False","1199943","61267153","59","257333771","4","316","61267153","2283925","58","False"
"toy.mzn","Gini","toy_16_19.dzn","Chuffed",1200000,16,"LB-TL","True","4053","False","1199932","101778969","127","532917732","4","135","101778969","5471168","126","False"
"toy.mzn","Spread","toy_31_32.dzn","Chuffed",1200000,31,"LB-TL","True","15660675","False","1199951","70428710","2155","474812857","4","393","70428710","40257383","2154","False"
"toy.mzn","Gini","toy_23_27.dzn","Chuffed",1200000,23,"Simp","True","2104","False","1199947","50006986","195","225502887","4","589","50006986","7187180","194","False"
