"mzn","dzn","solver","timeout","nJ","nM","nA","mode","case","learning","UTIL","disp","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"Gini","ta76_8a_alloc1.dzn","Chuffed",1200000,100,20,8,"LB-TL","maxeff","TRUE","22515","1973","-22515","FALSE","20910","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","118","FALSE"
"Gini","ta40_2a_alloc1.dzn","Chuffed",1200000,30,15,2,"LB-TL","mindis","TRUE","8344","0","0","TRUE","12040","8283","13","6193482","2289","453","8283","25361","12","FALSE"
"Gini","ta65_4a_alloc3.dzn","Chuffed",1200000,50,20,4,"LB","mindis","TRUE","15381","17","17","FALSE","1199345","183303","18","270289344","5060","1014","183303","271377","17","FALSE"
"Spread","ta72_7a_alloc2.dzn","Chuffed",1200000,100,20,7,"Simp","mindis","TRUE","35345","729366","729366","FALSE","9640","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","6","FALSE"
"Gini","ta77_7a_alloc3.dzn","Chuffed",1200000,100,20,7,"LB","mindis","TRUE","34822","1098","1098","FALSE","56060","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","23","FALSE"
"Spread","ta60_5a_alloc3.dzn","Chuffed",1200000,50,15,5,"LB","maxeff","TRUE","17243","476582","-17243","FALSE","1199468","247293","60","225293312","3821","764","247293","217878","59","FALSE"
"Gini","ta40_2a_alloc3.dzn","Chuffed",1200000,30,15,2,"LB-TL","maxeff","TRUE","9667","1500","-9667","FALSE","1199671","246411","37","382705534","2291","456","246411","150957","36","FALSE"
"Spread","ta54_3a_alloc3.dzn","Chuffed",1200000,50,15,3,"Simp","maxeff","TRUE","18594","110744","-18594","FALSE","1199509","238471","64","206369090","3815","966","238471","274304","63","FALSE"
"Gini","ta76_6a_alloc3.dzn","Chuffed",1200000,100,20,6,"LB","maxeff","TRUE","39254","695","-39254","FALSE","22460","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","122","FALSE"
"Gini","ta54_5a_alloc1.dzn","Chuffed",1200000,50,15,5,"LB-TL","maxeff","TRUE","18315","1997","-18315","FALSE","1199489","245809","57","229835918","3819","905","245809","254315","56","FALSE"
"Gini","ta76_9a_alloc2.dzn","Chuffed",1200000,100,20,9,"LB","maxeff","TRUE","15242","1999","-15242","FALSE","1198653","161316","32","277372830","10096","2012","161316","314217","31","FALSE"
"Spread","ta57_3a_alloc2.dzn","Chuffed",1200000,50,15,3,"Simp","maxeff","TRUE","9225","1064340","-9225","FALSE","1199488","300367","42","365891209","3811","829","300367","280012","41","FALSE"
"Gini","ta78_8a_alloc3.dzn","Chuffed",1200000,100,20,8,"LB-TL","maxeff","TRUE","42930","1352","-42930","FALSE","28250","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","141","FALSE"
"Spread","ta59_5a_alloc3.dzn","Chuffed",1200000,50,15,5,"LB","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"Gini","ta57_4a_alloc2.dzn","Chuffed",1200000,50,15,4,"LB","maxeff","TRUE","20629","1285","-20629","FALSE","1199458","234657","61","237959911","3813","1274","234657","162612","60","FALSE"
"Spread","ta78_9a_alloc1.dzn","Chuffed",1200000,100,20,9,"LB-TL","mindis","TRUE","35118","1348541","1348541","FALSE","16980","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","16","FALSE"
"Spread","ta71_5a_alloc3.dzn","Chuffed",1200000,100,20,5,"Simp","mindis","TRUE","34015","1887076","1887076","FALSE","14570","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","13","FALSE"
"Spread","ta78_8a_alloc1.dzn","Chuffed",1200000,100,20,8,"LB-TL","mindis","TRUE","35118","2375501","2375501","FALSE","22390","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","25","FALSE"
"Gini","ta71_8a_alloc1.dzn","Chuffed",1200000,100,20,8,"LB-TL","mindis","TRUE","33749","761","761","FALSE","11170","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","13","FALSE"
"Spread","ta57_5a_alloc2.dzn","Chuffed",1200000,50,15,5,"Simp","maxeff","TRUE","18269","194392","-18269","FALSE","1199460","202245","83","202189636","3815","765","202245","171514","82","FALSE"
"Gini","ta59_3a_alloc3.dzn","Chuffed",1200000,50,15,3,"LB","mindis","TRUE","13915","504","504","FALSE","1199473","194646","12","241801065","3809","760","194646","123933","11","FALSE"
"Spread","ta52_5a_alloc2.dzn","Chuffed",1200000,50,15,5,"Simp","maxeff","TRUE","14695","232076","-14695","FALSE","1199469","163257","64","227512143","3813","762","163257","146439","63","FALSE"
"Spread","ta75_9a_alloc3.dzn","Chuffed",1200000,100,20,9,"LB","maxeff","TRUE","21071","966305","-21071","FALSE","30460","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","179","FALSE"
"Spread","ta55_5a_alloc3.dzn","Chuffed",1200000,50,15,5,"LB","maxeff","TRUE","17756","400498","-17756","FALSE","1199483","245025","55","205706084","3813","785","245025","278423","54","FALSE"
"Gini","ta48_3a_alloc3.dzn","Chuffed",1200000,30,20,3,"Simp","mindis","TRUE","10123","388","388","FALSE","1199592","299317","9","511906114","3050","603","299317","148226","8","FALSE"
"Gini","ta77_7a_alloc1.dzn","Chuffed",1200000,100,20,7,"LB","maxeff","TRUE","19192","1928","-19192","FALSE","1198719","398283","41","464244584","10110","2013","398283","401022","40","FALSE"
"Spread","ta68_5a_alloc1.dzn","Chuffed",1200000,50,20,5,"Simp","mindis","TRUE","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"Spread","ta57_5a_alloc2.dzn","Chuffed",1200000,50,15,5,"LB-TL","maxeff","TRUE","14702","529499","-14702","FALSE","1199493","155650","82","223191180","3815","765","155650","80434","81","FALSE"
"Spread","ta43_3a_alloc3.dzn","Chuffed",1200000,30,20,3,"LB-TL","mindis","TRUE","8709","1900","1900","TRUE","37410","13588","8","27515937","3040","603","13588","73664","7","FALSE"
"Gini","ta69_5a_alloc1.dzn","Chuffed",1200000,50,20,5,"LB","maxeff","TRUE","23327","1993","-23327","FALSE","1199300","270871","50","229602983","5070","1113","270871","170679","49","FALSE"
"Gini","ta31_3a_alloc1.dzn","Chuffed",1200000,30,15,3,"LB","maxeff","TRUE","10069","427","-10069","FALSE","1199673","228206","25","370042646","2293","457","228206","139228","24","FALSE"
"Spread","ta73_8a_alloc3.dzn","Chuffed",1200000,100,20,8,"Simp","maxeff","TRUE","16401","1230708","-16401","FALSE","1198686","49697882","46","969721724","10104","2012","49697882","42772035","45","FALSE"
"Gini","ta74_5a_alloc1.dzn","Chuffed",1200000,100,20,5,"Simp","maxeff","TRUE","44119","1018","-44119","FALSE","24270","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","110","FALSE"
"Gini","ta74_7a_alloc2.dzn","Chuffed",1200000,100,20,7,"LB","mindis","TRUE","37804","669","669","FALSE","23180","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","30","FALSE"
"Gini","ta65_4a_alloc3.dzn","Chuffed",1200000,50,20,4,"LB-TL","maxeff","TRUE","21306","1596","-21306","FALSE","1199313","133954","53","252301502","5062","1013","133954","211092","52","FALSE"
"Spread","ta70_4a_alloc3.dzn","Chuffed",1200000,50,20,4,"Simp","maxeff","TRUE","20915","696078","-20915","FALSE","1199286","154936","69","242756986","5058","1013","154936","202757","68","FALSE"
